Escenario,Preprocesamiento,Modelo,RMSE,MAE,MAPE,R2
15 Minutos,Con filtro IQR,Random Forest,0.7161,0.5847,120.74,-0.0958
15 Minutos,Con filtro IQR,XGBoost,0.7097,0.589,122.62,-0.0764
15 Minutos,Con filtro IQR,SVR,0.8851,0.6895,119.53,-0.6739
15 Minutos,Sin filtro IQR,Random Forest,0.812,0.6149,114.33,0.0452
15 Minutos,Sin filtro IQR,XGBoost,0.8267,0.6415,124.78,0.0101
15 Minutos,Sin filtro IQR,SVR,0.8896,0.6455,98.76,-0.1461
1 Hora,Con filtro IQR,Random Forest,0.5537,0.4344,69.82,0.196
1 Hora,Con filtro IQR,XGBoost,0.5489,0.4268,67.55,0.21
1 Hora,Con filtro IQR,SVR,0.6105,0.454,65.5,0.0228
1 Hora,Sin filtro IQR,Random Forest,0.663,0.4952,74.49,0.197
1 Hora,Sin filtro IQR,XGBoost,0.6537,0.4868,71.57,0.2194
1 Hora,Sin filtro IQR,SVR,0.724,0.5147,67.17,0.0425
1 Día,Con filtro IQR,Random Forest,0.1809,0.139,17.98,0.4353
1 Día,Con filtro IQR,XGBoost,0.1835,0.1437,18.68,0.4188
1 Día,Con filtro IQR,SVR,0.2235,0.1758,22.31,0.1382
1 Día,Sin filtro IQR,Random Forest,0.2462,0.1855,22.2,0.3637
1 Día,Sin filtro IQR,XGBoost,0.2471,0.1864,21.5,0.3589
1 Día,Sin filtro IQR,SVR,0.2808,0.2147,24.24,0.1723
