Escenario,Modelo,Etapa,RMSE,MAE,MAPE,sMAPE,WAPE,nRMSE,MASE,R2,CV_R2,Params
15 Minutos,Persistencia,Base,0.8577,0.6218,98.38,64.31,67.11,92.56,,-0.5719,,N/A
15 Minutos,Regresión Lineal,Base,0.6815,0.587,117.8,66.18,63.35,73.55,0.9441,0.0076,,N/A
15 Minutos,Persistencia,Tuned,0.8577,0.6218,98.38,64.31,67.11,92.56,,-0.5719,,N/A
15 Minutos,Regresión Lineal,Tuned,0.6815,0.587,117.8,66.18,63.35,73.55,0.9441,0.0076,,N/A
15 Minutos,Random Forest,Base,0.7161,0.5847,120.74,63.79,63.1,77.28,0.9403,-0.0958,,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 5}"
15 Minutos,Random Forest,Tuned,0.7024,0.5754,117.32,63.22,62.1,75.8,0.9254,-0.0542,0.0716,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}"
15 Minutos,XGBoost,Base,0.7097,0.589,122.62,65.03,63.57,76.6,0.9473,-0.0764,,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}"
15 Minutos,XGBoost,Tuned,0.6787,0.5752,119.0,64.53,62.08,73.25,0.9251,0.0156,0.0912,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}"
15 Minutos,SVR,Base,0.8851,0.6895,119.53,83.09,74.41,95.52,1.1089,-0.6739,,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale'}"
15 Minutos,SVR,Tuned,0.7276,0.5683,93.48,68.11,61.33,78.52,0.9139,-0.1312,-0.0695,"{'C': 1, 'epsilon': 0.1, 'gamma': 'scale'}"
1 Hora,Persistencia,Base,0.6936,0.4995,73.25,53.33,53.99,74.97,,-0.2615,,N/A
1 Hora,Regresión Lineal,Base,0.5536,0.4385,69.25,50.21,47.39,59.84,0.8778,0.1964,,N/A
1 Hora,Persistencia,Tuned,0.6936,0.4995,73.25,53.33,53.99,74.97,,-0.2615,,N/A
1 Hora,Regresión Lineal,Tuned,0.5536,0.4385,69.25,50.21,47.39,59.84,0.8778,0.1964,,N/A
1 Hora,Random Forest,Base,0.5537,0.4344,69.82,49.51,46.95,59.85,0.8696,0.196,,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 5}"
1 Hora,Random Forest,Tuned,0.5483,0.4293,68.76,49.02,46.4,59.27,0.8594,0.2116,0.2219,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 300}"
1 Hora,XGBoost,Base,0.5489,0.4268,67.55,48.71,46.13,59.33,0.8545,0.21,,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}"
1 Hora,XGBoost,Tuned,0.5426,0.4264,68.07,48.94,46.09,58.65,0.8537,0.2281,0.2045,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}"
1 Hora,SVR,Base,0.6105,0.454,65.5,51.87,49.07,65.99,0.9089,0.0228,,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale'}"
1 Hora,SVR,Tuned,0.5738,0.4217,58.68,47.21,45.58,62.02,0.8442,0.1368,0.2091,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.01}"
1 Día,Persistencia,Base,0.2552,0.1909,24.06,22.63,21.58,28.85,,-0.124,,N/A
1 Día,Regresión Lineal,Base,0.195,0.1507,20.51,18.35,17.04,22.05,0.7896,0.3437,,N/A
1 Día,Persistencia,Tuned,0.2552,0.1909,24.06,22.63,21.58,28.85,,-0.124,,N/A
1 Día,Regresión Lineal,Tuned,0.195,0.1507,20.51,18.35,17.04,22.05,0.7896,0.3437,,N/A
1 Día,Random Forest,Base,0.1809,0.139,17.98,16.66,15.71,20.45,0.7281,0.4353,,"{'n_estimators': 200, 'max_depth': 15, 'min_samples_leaf': 3}"
1 Día,Random Forest,Tuned,0.1809,0.1378,17.95,16.56,15.57,20.46,0.7216,0.4351,0.157,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}"
1 Día,XGBoost,Base,0.1835,0.1437,18.68,17.33,16.24,20.75,0.7526,0.4188,,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}"
1 Día,XGBoost,Tuned,0.1835,0.1427,18.76,17.25,16.13,20.74,0.7473,0.4193,0.1512,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}"
1 Día,SVR,Base,0.2235,0.1758,22.31,21.51,19.88,25.26,0.9211,0.1382,,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale'}"
1 Día,SVR,Tuned,0.1985,0.1487,19.14,17.83,16.81,22.44,0.7791,0.3203,0.2544,"{'C': 1, 'epsilon': 0.01, 'gamma': 'scale'}"
